Field,Field_1 (RE),Field_2 (R),Field_3 (R)
MSH-4,HI PHL Honolulu,2.16.840.1.114222.4.1.10276,ISO
MSH-4,,2.16.840.1.114222.4.1.10276,ISO
MSH-4,TX.PHL.Houston,2.16.840.1.114222.4.1.9951,ISO
MSH-4,,2.16.840.1.114222.4.1.9951,ISO
MSH-4,IA Public Health Lab,2.16.840.1.114222.4.1.10411,ISO
MSH-4,,2.16.840.1.114222.4.1.10411,ISO
MSH-4,IDBOL,2.16.840.1.114222.4.1.10023,ISO
MSH-4,,2.16.840.1.114222.4.1.10023,ISO
MSH-4,IL.Carbondale.PHL,2.16.840.1.114222.4.1.69988,ISO
MSH-4,,2.16.840.1.114222.4.1.69988,ISO
MSH-4,IL.Chicago.PHL,2.16.840.1.114222.4.1.70541,ISO
MSH-4,,2.16.840.1.114222.4.1.70541,ISO
MSH-4,IL.Springfield.SPHL,2.16.840.1.114222.4.1.69982,ISO
MSH-4,,2.16.840.1.114222.4.1.69982,ISO
MSH-4,IN.Indianapolis.SPHL,2.16.840.1.114222.4.1.77756,ISO
MSH-4,,2.16.840.1.114222.4.1.77756,ISO
MSH-4,KS.Topeka.SPHL,2.16.840.1.114222.4.1.84856,ISO
MSH-4,,2.16.840.1.114222.4.1.84856,ISO
MSH-4,KS.KSU.VL,2.16.840.1.114222.4.1.218313,ISO
MSH-4,,2.16.840.1.114222.4.1.218313,ISO
MSH-4,KY.Frankfort.SPHL,2.16.840.1.114222.4.1.87234,ISO
MSH-4,,2.16.840.1.114222.4.1.87234,ISO
MSH-4,LA.Metairie.SPHL,2.16.840.1.114222.4.1.90447,ISO
MSH-4,,2.16.840.1.114222.4.1.90447,ISO
MSH-4,MA.PHL.JamaicaPlain,2.16.840.1.114222.4.1.10061,ISO
MSH-4,,2.16.840.1.114222.4.1.10061,ISO
MSH-4,MA IOT Lab Cambridge,2.16.840.1.114222.4.1.10062,ISO
MSH-4,,2.16.840.1.114222.4.1.10062,ISO
MSH-4,MA IOT Lab Lexington,2.16.840.1.114222.4.1.10063,ISO
MSH-4,,2.16.840.1.114222.4.1.10063,ISO
MSH-4,MA PHL Boston,2.16.840.1.114222.4.1.213204,ISO
MSH-4,,2.16.840.1.114222.4.1.213204,ISO
MSH-4,MA DPH,2.16.840.1.114222.4.1.3657,ISO
MSH-4,,2.16.840.1.114222.4.1.3657,ISO
MSH-4,MAStateLabInstitute,2.16.840.1.114222.4.1.99066,ISO
MSH-4,,2.16.840.1.114222.4.1.99066,ISO
MSH-4,MD.BALTIMORE.SPHL,2.16.840.1.114222.4.1.95290,ISO
MSH-4,,2.16.840.1.114222.4.1.95290,ISO
MSH-4,"HETL - Augusta, ME",2.16.840.1.114222.4.1.93923,ISO
MSH-4,,2.16.840.1.114222.4.1.93923,ISO
MSH-4,MI.Lansing.SPHL,2.16.840.1.114222.4.1.103423,ISO
MSH-4,,2.16.840.1.114222.4.1.103423,ISO
MSH-4,MN Public Health Lab,2.16.840.1.114222.4.1.10080,ISO
MSH-4,,2.16.840.1.114222.4.1.10080,ISO
MSH-4,Minnesota Public Health Laboratory,2.16.840.1.114222.4.1.10080,ISO
MSH-4,,2.16.840.1.114222.4.1.10080,ISO
MSH-4,MO.JeffersonCty.SPHL,2.16.840.1.114222.4.1.114719,ISO
MSH-4,,2.16.840.1.114222.4.1.114719,ISO
MSH-4,MMS.Jackson.SPHL,2.16.840.1.114222.4.1.111790,ISO
MSH-4,,2.16.840.1.114222.4.1.111790,ISO
MSH-4,MT.Helena.SPHL,2.16.840.1.114222.4.1.118430,ISO
MSH-4,,2.16.840.1.114222.4.1.118430,ISO
MSH-4,MT,2.16.840.1.114222.4.3.2.2.3.571.2,ISO
MSH-4,,2.16.840.1.114222.4.3.2.2.3.571.2,ISO
MSH-4,NC.Raleigh.SPHL,2.16.840.1.114222.4.1.141539,ISO
MSH-4,,2.16.840.1.114222.4.1.141539,ISO
MSH-4,ND PHL Micro,2.16.840.1.114222.4.1.10107,ISO
MSH-4,,2.16.840.1.114222.4.1.10107,ISO
MSH-4,NE Public Health Lab,2.16.840.1.114222.4.1.10412,ISO
MSH-4,,2.16.840.1.114222.4.1.10412,ISO
MSH-4,NH.Concord.SPHL,2.16.840.1.114222.4.1.122036,ISO
MSH-4,,2.16.840.1.114222.4.1.122036,ISO
MSH-4,NJ.Trenton.SPHL,2.16.840.1.114222.4.1.125142,ISO
MSH-4,,2.16.840.1.114222.4.1.125142,ISO
MSH-4,NM.Albuquerque.SPHL,2.16.840.1.114222.4.1.128640,ISO
MSH-4,,2.16.840.1.114222.4.1.128640,ISO
MSH-4,NV.Reno.SPHL,2.16.840.1.114222.4.1.120625,ISO
MSH-4,,2.16.840.1.114222.4.1.120625,ISO
MSH-4,NY.Wadsworth.Biggs,2.16.840.1.114222.4.1.131913,ISO
MSH-4,,2.16.840.1.114222.4.1.131913,ISO
MSH-4,NY PHL NYC,2.16.840.1.114222.4.1.10100,ISO
MSH-4,,2.16.840.1.114222.4.1.10100,ISO
MSH-4,OH.Reynoldsburg.SPHL,2.16.840.1.114222.4.1.148696,ISO
MSH-4,,2.16.840.1.114222.4.1.148696,ISO
MSH-4,OK.SPHL,2.16.840.1.114222.4.1.156530,ISO
MSH-4,,2.16.840.1.114222.4.1.156530,ISO
MSH-4,OR.SPHL,2.16.840.1.114222.4.1.10125,ISO
MSH-4,,2.16.840.1.114222.4.1.10125,ISO
MSH-4,PA.SPHL,2.16.840.1.114222.4.1.163683,ISO
MSH-4,,2.16.840.1.114222.4.1.163683,ISO
MSH-4,PHI_DPHL,2.16.840.1.114222.4.1.162962 ,ISO
MSH-4,,2.16.840.1.114222.4.1.162962 ,ISO
MSH-4,PHI_DPH,2.16.840.1.114222.4.1.3035,ISO
MSH-4,,2.16.840.1.114222.4.1.3035,ISO
MSH-4,PR.SanJuan.PHL,2.16.840.1.114222.4.1.213209,ISO
MSH-4,,2.16.840.1.114222.4.1.213209,ISO
MSH-4,RI PHL,2.16.840.1.114222.4.1.10140,ISO
MSH-4,,2.16.840.1.114222.4.1.10140,ISO
MSH-4,RI DOH,2.16.840.1.114222.4.1.3679,ISO
MSH-4,,2.16.840.1.114222.4.1.3679,ISO
MSH-4,CA.SanDiego.CPHL,2.16.840.1.114222.4.1.20237,ISO
MSH-4,,2.16.840.1.114222.4.1.20237,ISO
MSH-4,CA.SLO.CPHL ,2.16.840.1.114222.4.1.10152 ,ISO
MSH-4,,2.16.840.1.114222.4.1.10152 ,ISO
MSH-4,SC.Columbia.SPHL,2.16.840.1.114222.4.1.171355,ISO
MSH-4,,2.16.840.1.114222.4.1.171355,ISO
MSH-4,SD.Pierre.SPHL,2.16.840.1.114222.4.1.10166,ISO
MSH-4,,2.16.840.1.114222.4.1.10166,ISO
MSH-4,TN.Nashville.SPHL,2.16.840.1.114222.4.1.175791,ISO
MSH-4,,2.16.840.1.114222.4.1.175791,ISO
MSH-4,TN.Knoxville.PHL,2.16.840.1.114222.4.1.175831,ISO
MSH-4,,2.16.840.1.114222.4.1.175831,ISO
MSH-4,TN.Jackson.PHL,2.16.840.1.114222.4.1.175862,ISO
MSH-4,,2.16.840.1.114222.4.1.175862,ISO
MSH-4,TN.Shelby.CPHL,2.16.840.1.114222.4.1.175880,ISO
MSH-4,,2.16.840.1.114222.4.1.175880,ISO
MSH-4,TX PHL East,2.16.840.1.114222.4.1.10137,ISO
MSH-4,,2.16.840.1.114222.4.1.10137,ISO
MSH-4,TX PHL San Antonio,2.16.840.1.114222.4.1.10148,ISO
MSH-4,,2.16.840.1.114222.4.1.10148,ISO
MSH-4,TX.Harlingen.PHL,2.16.840.1.114222.4.1.10168,ISO
MSH-4,,2.16.840.1.114222.4.1.10168,ISO
MSH-4,TX SPHL,2.16.840.1.114222.4.1.181960,ISO
MSH-4,,2.16.840.1.114222.4.1.10183,ISO
MSH-4,TX.Austin.SPHL,2.16.840.1.114222.4.1.181960,ISO
MSH-4,,2.16.840.1.114222.4.1.181960,ISO
MSH-4,TX Vet Lab,2.16.840.1.114222.4.1.181960,ISO
MSH-4,,2.16.840.1.114222.4.1.181960,ISO
MSH-4,TX.ElPaso.WmBeaumontAMC.DOD,2.16.840.1.114222.4.1.10483,ISO
MSH-4,,2.16.840.1.114222.4.1.10483,ISO
MSH-4,TX.Tarrant.CPHL,2.16.840.1.114222.4.1.181859,ISO
MSH-4,,2.16.840.1.114222.4.1.181859,ISO
MSH-4,TEXASDSHSAUSTIN,2.16.840.1.114222.4.1.181960,ISO
MSH-4,,2.16.840.1.114222.4.1.181960,ISO
MSH-4,TX.Lubbock.PHL,2.16.840.1.114222.4.1.181971,ISO
MSH-4,,2.16.840.1.114222.4.1.181971,ISO
MSH-4,TX.Dallas.CPHL,2.16.840.1.114222.4.1.182265,ISO
MSH-4,,2.16.840.1.114222.4.1.182265,ISO
MSH-4,TX.Wichita.CPHL,2.16.840.1.114222.4.1.182282,ISO
MSH-4,,2.16.840.1.114222.4.1.182282,ISO
MSH-4,TX PHL El Paso,2.16.840.1.114222.4.1.213407,ISO
MSH-4,,2.16.840.1.114222.4.1.213407,ISO
MSH-4,TX Womens PHL,2.16.840.1.114222.4.1.213408,ISO
MSH-4,,2.16.840.1.114222.4.1.213408,ISO
MSH-4,TEXASDSHSHARLINGEN,2.16.840.1.114222.4.1.214274,ISO
MSH-4,,2.16.840.1.114222.4.1.214274,ISO
MSH-4,TX DOH,2.16.840.1.114222.4.1.3683,ISO
MSH-4,,2.16.840.1.114222.4.1.3683,ISO
MSH-4,TX.SanAntonio.DOD.BrooksAFB,2.16.840.1.114222.4.1.9908,ISO
MSH-4,,2.16.840.1.114222.4.1.9908,ISO
MSH-4,TX.PHL.CCNC,2.16.840.1.114222.4.1.9962,ISO
MSH-4,,2.16.840.1.114222.4.1.9962,ISO
MSH-4,TX.Austin.SPHL,2.16.840.1.114222.4.1.181960,ISO
MSH-4,,2.16.840.1.114222.4.1.181960,ISO
MSH-4,USAFSAM EpiLab,2.16.840.1.114222.4.1.214118,ISO
MSH-4,,2.16.840.1.114222.4.1.214118,ISO
MSH-4,WY USDA Lab,2.16.840.1.114222.4.1.10257,ISO
MSH-4,,2.16.840.1.114222.4.1.10257,ISO
MSH-4,UT DOH,2.16.840.1.114222.4.1.3684,ISO
MSH-4,,2.16.840.1.114222.4.1.3684,ISO
MSH-4,UT.SaltLakeCity.SPHL,2.16.840.1.114222.4.1.3684,ISO
MSH-4,,2.16.840.1.114222.4.1.3684,ISO
MSH-4,VA PHL Richmond,2.16.840.1.114222.4.1.9977,ISO
MSH-4,,2.16.840.1.114222.4.1.9977,ISO
MSH-4,VA PHL Abingdon,2.16.840.1.114222.4.1.10759,ISO
MSH-4,,2.16.840.1.114222.4.1.10759,ISO
MSH-4,VA PHL Richmond?,2.16.840.1.114222.4.1.200458,ISO
MSH-4,,2.16.840.1.114222.4.1.200458,ISO
MSH-4,VT.Burlington.SPHL,2.16.840.1.114222.4.1.10210,ISO
MSH-4,,2.16.840.1.114222.4.1.10210,ISO
MSH-4,WA.Shoreline.SPHL,2.16.840.1.114222.4.1.204745,ISO
MSH-4,,2.16.840.1.114222.4.1.204745,ISO
MSH-4,WI.Madison.SPHL,2.16.840.1.114222.4.1.209842,ISO
MSH-4,,2.16.840.1.114222.4.1.209842,ISO
MSH-4,WI Wildlife Lab,2.16.840.1.114222.4.1.10092,ISO
MSH-4,,2.16.840.1.114222.4.1.10092,ISO
MSH-4,WI.Madison.SPHL.Env,2.16.840.1.114222.4.1.209727,ISO
MSH-4,,2.16.840.1.114222.4.1.209727,ISO
MSH-4,WI DPH,2.16.840.1.114222.4.1.3691,ISO
MSH-4,,2.16.840.1.114222.4.1.3691,ISO
MSH-4,WI PHL,2.16.840.1.114222.4.1.9952,ISO
MSH-4,,2.16.840.1.114222.4.1.9952,ISO
MSH-4,WV.SCharleston.SPHL,2.16.840.1.114222.4.1.207525,ISO
MSH-4,,2.16.840.1.114222.4.1.207525,ISO
MSH-4,WY SPHL,2.16.840.1.114222.4.1.10229,ISO
MSH-4,,2.16.840.1.114222.4.1.10229,ISO
